Time t / s,Voltage U_A1 / V,Voltage U_B1 / V
0,0.006,0.0075
0.02,0.0045,0.0075
0.04,0.0075,0.0075
0.06,0.0045,0.009
0.08,0.006,0.0075
0.1,0.0075,0.0075
0.12,0.006,0.0075
0.14,0.0045,0.009
0.16,0.006,0.0075
0.18,0.0075,0.0075
0.2,0.006,0.009
0.22,0.0105,0.0075
0.24,0.006,0.0075
0.26,0.0075,0.0075
0.28,0.0075,0.009
0.3,0.0075,0.0075
0.32,0.0075,0.009
0.34,0.0075,0.0075
0.36,0.0075,0.0075
0.38,0.0045,0.009
0.4,0.009,0.0075
0.42,0.006,0.009
0.44,0.0075,0.0075
0.46,0.006,0.0075
0.48,0.0075,0.0075
0.5,0.006,0.009
0.52,0.0075,0.009
0.54,0.0075,0.0075
0.56,0.006,0.009
0.58,0.009,0.0075
0.6,0.0075,0.009
0.62,0.006,0.0075
0.64,0.0045,0.0075
0.66,0.0075,0.0075
0.68,0.0045,0.0075
0.7,0.0075,0.0075
0.72,0.006,0.0075
0.74,0.003,0.0075
0.76,0.006,0.0075
0.78,0.006,0.0075
0.8,0.006,0.009
0.82,0.006,0.0075
0.84,0.0075,0.009
0.86,0.0045,0.0075
0.88,0.0075,0.0075
0.9,0.006,0.0075
0.92,0.0075,0.0075
0.94,0.006,0.0075
0.96,0.009,0.0075
0.98,0.006,0.009
1,0.0045,0.009
1.02,0.0075,0.0075
1.04,0.0045,0.0075
1.06,0.0075,0.009
1.08,0.006,0.009
1.1,0.0045,0.0075
1.12,0.0045,0.0075
1.14,0.0075,0.009
1.16,0.006,0.0075
1.18,0.006,0.009
1.2,0.0075,0.0075
1.22,0.0045,0.009
1.24,0.006,0.0075
1.26,0.006,0.009
1.28,0.006,0.009
1.3,0.006,0.0075
1.32,0.0075,0.009
1.34,0.006,0.0075
1.36,0.0045,0.0075
1.38,0.006,0.009
1.4,0.006,0.0075
1.42,0.006,0.009
1.44,0.006,0.0075
1.46,0.006,0.009
1.48,0.003,0.0075
1.5,0.0075,0.0075
1.52,0.015,0.054
1.54,-0.0195,0.0135
1.56,0,0.0195
1.58,0.0045,0.024
1.6,0.0075,0.0285
1.62,0.0075,0.0345
1.64,0.012,0.039
1.66,0.0075,0.0465
1.68,0.0135,0.0495
1.7,0.009,0.054
1.72,0.012,0.06
1.74,0.0105,0.0645
1.76,0.0135,0.0705
1.78,0.0105,0.075
1.8,0.0135,0.081
1.82,0.0135,0.0855
1.84,0.009,0.09
1.86,0.015,0.096
1.88,0.0105,0.099
1.9,0.015,0.105
1.92,0.012,0.1095
1.94,0.015,0.1155
1.96,0.0105,0.12
1.98,0.0135,0.1245
2,0.015,0.1305
2.02,0.0135,0.135
2.04,0.0165,0.1395
2.06,0.012,0.1455
2.08,0.015,0.15
2.1,0.012,0.1545
2.12,0.021,0.1605
2.14,0.015,0.165
2.16,0.018,0.1695
2.18,0.018,0.1755
2.2,0.0165,0.18
2.22,0.0195,0.1845
2.24,0.0195,0.1905
2.26,0.0225,0.195
2.28,0.021,0.1995
2.3,0.024,0.204
2.32,0.021,0.21
2.34,0.0285,0.2145
2.36,0.0255,0.219
2.38,0.027,0.225
2.4,0.0285,0.2295
2.42,0.03,0.234
2.44,0.0315,0.24
2.46,0.0315,0.243
2.48,0.039,0.249
2.5,0.036,0.255
2.52,0.0435,0.2595
2.54,0.042,0.264
2.56,0.051,0.2685
2.58,0.048,0.2745
2.6,0.0555,0.279
2.62,0.057,0.285
2.64,0.06,0.288
2.66,0.0675,0.294
2.68,0.0645,0.2985
2.7,0.0765,0.303
2.72,0.0765,0.309
2.74,0.0885,0.3135
2.76,0.0885,0.3195
2.78,0.102,0.324
2.8,0.1005,0.3285
2.82,0.111,0.3345
2.84,0.1215,0.339
2.86,0.1275,0.3435
2.88,0.1425,0.348
2.9,0.1455,0.354
2.92,0.156,0.3585
2.94,0.159,0.363
2.96,0.1815,0.369
2.98,0.183,0.3735
3,0.192,0.378
3.02,0.1995,0.3825
3.04,0.198,0.3885
3.06,0.2055,0.393
3.08,0.2055,0.399
3.1,0.207,0.4035
3.12,0.1905,0.408
3.14,0.1935,0.4125
3.16,0.1695,0.4185
3.18,0.1575,0.4245
3.2,0.141,0.4275
3.22,0.129,0.4335
3.24,0.111,0.438
3.26,0.1005,0.4425
3.28,0.087,0.447
3.3,0.0735,0.4515
3.32,0.0735,0.4575
3.34,0.063,0.462
3.36,0.0585,0.468
3.38,0.0525,0.4725
3.4,0.048,0.4785
3.42,0.042,0.4815
3.44,0.0435,0.4875
3.46,0.039,0.492
3.48,0.036,0.4965
3.5,0.0375,0.5025
3.52,0.033,0.507
3.54,0.0345,0.513
3.56,0.03,0.516
3.58,0.0315,0.5235
3.6,0.0285,0.528
3.62,0.0315,0.531
3.64,0.0255,0.537
3.66,0.024,0.5415
3.68,0.0255,0.546
3.7,0.0255,0.552
3.72,0.027,0.558
3.74,0.027,0.561
3.76,0.0285,0.567
3.78,0.024,0.5715
3.8,0.03,0.5775
3.82,0.0285,0.5805
3.84,0.03,0.5865
3.86,0.0285,0.591
3.88,0.033,0.5955
3.9,0.033,0.6015
3.92,0.036,0.606
3.94,0.0405,0.612
3.96,0.039,0.6165
3.98,0.045,0.6225
4,0.045,0.6255
4.02,0.0465,0.63
4.04,0.0525,0.636
4.06,0.057,0.6405
4.08,0.0615,0.6465
4.1,0.066,0.651
4.12,0.0735,0.6555
4.14,0.0735,0.6615
4.16,0.087,0.666
4.18,0.0915,0.6705
4.2,0.102,0.675
4.22,0.1095,0.681
4.24,0.1215,0.6855
4.26,0.1245,0.6915
4.28,0.141,0.696
4.3,0.159,0.7005
4.32,0.1665,0.705
4.34,0.1875,0.711
4.36,0.1995,0.717
4.38,0.219,0.72
4.4,0.234,0.726
4.42,0.258,0.729
4.44,0.273,0.7365
4.46,0.297,0.741
4.48,0.3195,0.744
4.5,0.333,0.75
4.52,0.363,0.7545
4.54,0.3855,0.7605
4.56,0.4125,0.765
4.58,0.432,0.7695
4.6,0.4635,0.7755
4.62,0.4815,0.78
4.64,0.513,0.7845
4.66,0.5445,0.789
4.68,0.5715,0.795
4.7,0.603,0.7995
4.72,0.6285,0.804
4.74,0.66,0.8085
4.76,0.6885,0.8145
4.78,0.7275,0.819
4.8,0.753,0.825
4.82,0.7815,0.828
4.84,0.8175,0.834
4.86,0.843,0.8385
4.88,0.876,0.8445
4.9,0.9075,0.849
4.92,0.933,0.8535
4.94,0.9525,0.8595
4.96,0.9765,0.864
4.98,0.9765,0.8685
5,0.99,0.873
5.02,0.9885,0.879
5.04,0.9765,0.8835
5.06,0.954,0.8895
5.08,0.9255,0.894
5.1,0.882,0.8985
5.12,0.837,0.9045
5.14,0.792,0.909
5.16,0.729,0.9135
5.18,0.6765,0.918
5.2,0.615,0.924
5.22,0.561,0.9285
5.24,0.5085,0.933
5.26,0.4695,0.939
5.28,0.426,0.942
5.3,0.3825,0.9495
5.32,0.3495,0.954
5.34,0.306,0.9585
5.36,0.276,0.9615
5.38,0.2415,0.9675
5.4,0.213,0.972
5.42,0.1815,0.978
5.44,0.162,0.9825
5.46,0.135,0.987
5.48,0.12,0.9945
5.5,0.111,0.9975
5.52,0.096,1.0035
5.54,0.087,1.0065
5.56,0.078,1.0125
5.58,0.0735,1.017
5.6,0.0645,1.023
5.62,0.0705,1.0275
5.64,0.0585,1.032
5.66,0.057,1.038
5.68,0.0555,1.0425
5.7,0.0525,1.0485
5.72,0.0525,1.0515
5.74,0.054,1.0575
5.76,0.057,1.062
5.78,0.093,1.068
5.8,0.063,1.0725
5.82,0.06,1.077
5.84,0.066,1.083
5.86,0.072,1.0875
5.88,0.078,1.092
5.9,0.081,1.0965
5.92,0.0885,1.1025
5.94,0.0975,1.107
5.96,0.1035,1.1115
5.98,0.117,1.1175
6,0.126,1.1205
6.02,0.1395,1.128
6.04,0.153,1.1325
6.06,0.168,1.137
6.08,0.183,1.14
6.1,0.2085,1.1475
6.12,0.231,1.152
6.14,0.2475,1.1565
6.16,0.273,1.161
6.18,0.2925,1.167
6.2,0.3225,1.1715
6.22,0.348,1.176
6.24,0.3765,1.182
6.26,0.4005,1.1865
6.28,0.4335,1.1925
6.3,0.4635,1.197
6.32,0.492,1.2015
6.34,0.531,1.2075
6.36,0.5625,1.2105
6.38,0.6,1.2165
6.4,0.6315,1.221
6.42,0.669,1.227
6.44,0.705,1.2315
6.46,0.7515,1.236
6.48,0.792,1.242
6.5,0.831,1.2465
6.52,0.8745,1.251
6.54,0.9165,1.2555
6.56,0.966,1.2615
6.58,1.011,1.266
6.6,1.0605,1.272
6.62,1.104,1.2765
6.64,1.1565,1.281
6.66,1.203,1.2855
6.68,1.254,1.2915
6.7,1.3095,1.296
6.72,1.3635,1.3005
6.74,1.413,1.305
6.76,1.461,1.311
6.78,1.515,1.3155
6.8,1.5615,1.3215
6.82,1.617,1.3245
6.84,1.6635,1.3305
6.86,1.707,1.335
6.88,1.7475,1.341
6.9,1.779,1.3455
6.92,1.809,1.35
6.94,1.8285,1.356
6.96,1.8495,1.3605
6.98,1.836,1.3665
7,1.8285,1.3695
7.02,1.8015,1.3755
7.04,1.776,1.3815
7.06,1.7295,1.386
7.08,1.674,1.392
7.1,1.6125,1.395
7.12,1.5435,1.401
7.14,1.4805,1.404
7.16,1.404,1.4115
7.18,1.341,1.416
7.2,1.2675,1.4205
7.22,1.203,1.425
7.24,1.134,1.4295
7.26,1.068,1.4355
7.28,1.002,1.44
7.3,0.9375,1.4445
7.32,0.87,1.4505
7.34,0.795,1.455
7.36,0.729,1.461
7.38,0.6585,1.464
7.4,0.597,1.47
7.42,0.537,1.4745
7.44,0.4845,1.4805
7.46,0.435,1.485
7.48,0.393,1.4895
7.5,0.3555,1.4955
7.52,0.3225,1.5
7.54,0.2955,1.5045
7.56,0.2655,1.5105
7.58,0.243,1.5135
7.6,0.219,1.5195
7.62,0.2025,1.524
7.64,0.186,1.53
7.66,0.1845,1.5345
7.68,0.192,1.539
7.7,0.156,1.545
7.72,0.159,1.5495
7.74,0.1545,1.5555
7.76,0.156,1.5585
7.78,0.156,1.5645
7.8,0.1605,1.5705
7.82,0.1635,1.575
7.84,0.1695,1.5795
7.86,0.174,1.584
7.88,0.183,1.5885
7.9,0.1935,1.5945
7.92,0.207,1.599
7.94,0.2205,1.605
7.96,0.2355,1.608
7.98,0.252,1.614
8,0.2745,1.6185
8.02,0.2985,1.6245
8.04,0.3195,1.629
8.06,0.342,1.6335
8.08,0.3705,1.638
8.1,0.396,1.644
8.12,0.426,1.6485
8.14,0.453,1.6545
8.16,0.486,1.6575
8.18,0.5175,1.665
8.2,0.5535,1.668
8.22,0.5895,1.674
8.24,0.6255,1.68
8.26,0.6675,1.683
8.28,0.708,1.689
8.3,0.7515,1.6935
8.32,0.795,1.6995
8.34,0.84,1.7025
8.36,0.888,1.7085
8.38,0.936,1.7145
8.4,0.9825,1.719
8.42,1.0335,1.7235
8.44,1.104,1.728
8.46,1.1385,1.7325
8.48,1.1955,1.7385
8.5,1.2495,1.743
8.52,1.3065,1.749
8.54,1.3635,1.7535
8.56,1.425,1.758
8.58,1.4865,1.764
8.6,1.5495,1.7685
8.62,1.6125,1.773
8.64,1.6755,1.7775
8.66,1.74,1.7835
8.68,1.803,1.788
8.7,1.8705,1.794
8.72,1.9335,1.7985
8.74,2.004,1.803
8.76,2.067,1.809
8.78,2.1315,1.812
8.8,2.19,1.818
8.82,2.247,1.824
8.84,2.301,1.827
8.86,2.352,1.833
8.88,2.394,1.8375
8.9,2.4255,1.8435
8.92,2.451,1.848
8.94,2.472,1.8525
8.96,2.484,1.8585
8.98,2.49,1.863
9,2.4795,1.869
9.02,2.4615,1.872
9.04,2.4345,1.878
9.06,2.4015,1.8825
9.08,2.364,1.887
9.1,2.3205,1.893
9.12,2.2725,1.8975
9.14,2.2215,1.902
9.16,2.166,1.908
9.18,2.1075,1.9125
9.2,2.0445,1.9185
9.22,1.9785,1.9215
9.24,1.9065,1.9275
9.26,1.83,1.932
9.28,1.7445,1.938
9.3,1.65,1.9425
9.32,1.572,1.947
