Time t / s,Voltage U_B1 / V,Voltage U_A1 / V
0,-0.005,-0.01
0.02,0,-0.01
0.04,-0.005,-0.01
0.06,0,-0.01
0.08,0,-0.01
0.1,0,-0.01
0.12,-0.005,-0.01
0.14,-0.005,-0.01
0.16,-0.005,-0.01
0.18,0,-0.01
0.2,-0.005,-0.01
0.22,-0.005,-0.01
0.24,-0.005,-0.01
0.26,0,-0.01
0.28,0,-0.01
0.3,0,-0.01
0.32,-0.005,-0.01
0.34,0,-0.01
0.36,-0.005,-0.01
0.38,0,-0.01
0.4,-0.005,-0.05
0.42,-0.005,-0.025
0.44,-0.005,-0.015
0.46,-0.005,-0.015
0.48,0,-0.01
0.5,0,-0.01
0.52,-0.005,-0.01
0.54,-0.005,-0.005
0.56,0,-0.01
0.58,0,-0.01
0.6,0,-0.01
0.62,-0.005,-0.01
0.64,0,-0.01
0.66,-0.005,-0.01
0.68,0,-0.01
0.7,-0.005,-0.01
0.72,3.19,10.24
0.74,0.005,-0.065
0.76,0.005,-0.04
0.78,0.015,-0.02
0.8,0.02,-0.015
0.82,0.025,-0.01
0.84,0.03,-0.005
0.86,0.04,-0.005
0.88,0.045,-0.005
0.9,0.05,0
0.92,0.055,-0.005
0.94,0.06,0.01
0.96,0.065,0
0.98,0.075,0
1,0.08,0
1.02,0.085,0
1.04,0.09,0
1.06,0.095,0
1.08,0.105,0
1.1,0.11,0
1.12,0.115,0
1.14,0.12,0
1.16,0.125,0
1.18,0.135,-0.005
1.2,0.14,0
1.22,0.145,0.005
1.24,0.15,0.005
1.26,0.16,0
1.28,0.165,0.005
1.3,0.165,0
1.32,0.175,0
1.34,0.18,0.005
1.36,0.185,0
1.38,0.19,0.005
1.4,0.195,0.005
1.42,0.2,0.02
1.44,0.21,0.01
1.46,0.215,0.005
1.48,0.22,0.005
1.5,0.225,0.005
1.52,0.23,0.005
1.54,0.24,0.005
1.56,0.245,0.005
1.58,0.25,0.005
1.6,0.255,0.01
1.62,0.26,0.01
1.64,0.27,0.01
1.66,0.275,0.01
1.68,0.28,0.01
1.7,0.285,0.01
1.72,0.29,0.01
1.74,0.3,0.01
1.76,0.305,0.01
1.78,0.31,0.01
1.8,0.315,0.015
1.82,0.32,0.015
1.84,0.325,0.01
1.86,0.33,0.015
1.88,0.335,0.015
1.9,0.345,0.015
1.92,0.35,0.01
1.94,0.355,0.015
1.96,0.36,0.01
1.98,0.365,0.01
